LOCATION,TIME,Value
FRA,1986,2.1196188
FRA,1987,2.161470792
FRA,1988,2.15242593
FRA,1989,2.194768591
FRA,1990,2.274152071
FRA,1991,2.27747064
FRA,1992,2.283088518
FRA,1993,2.318812289
FRA,1994,2.268425747
FRA,1995,2.241079151
FRA,1996,2.222799402
FRA,1997,2.146989216
FRA,1998,2.094757636
FRA,1999,2.107667383
FRA,2000,2.093460978
FRA,2001,2.138042517
FRA,2002,2.174494514
FRA,2003,2.119937208
FRA,2004,2.094612844
FRA,2005,2.051505823
FRA,2006,2.050937992
FRA,2007,2.024512996
FRA,2008,2.061169195
FRA,2009,2.21206518
FRA,2010,2.178573219
FRA,2011,2.191614526
FRA,2012,2.227065823
FRA,2013,2.237025131
FRA,2014,2.27591667
FRA,2015,2.227016847
FRA,2016,2.222383891
FRA,2017,2.198880135
FRA,2018,2.196660102
FRA,2019,2.191788762
FRA,2020,2.354929093
DEU,1981,2.351612025
DEU,1982,2.420257159
DEU,1983,2.409191
DEU,1984,2.428473604
DEU,1985,2.585306935
DEU,1986,2.630580041
DEU,1987,2.727706477
DEU,1988,2.729448108
DEU,1989,2.711178852
DEU,1990,2.605879436
DEU,1991,2.386656577
DEU,1992,2.273039026
DEU,1993,2.205968539
DEU,1994,2.126300029
DEU,1995,2.135198115
DEU,1996,2.144611477
DEU,1997,2.188321291
DEU,1998,2.216129308
DEU,1999,2.347792355
DEU,2000,2.409817362
DEU,2001,2.40437244
DEU,2002,2.436220998
DEU,2003,2.474613872
DEU,2004,2.43518833
DEU,2005,2.441928279
DEU,2006,2.472315478
DEU,2007,2.460480567
DEU,2008,2.615133026
DEU,2009,2.742662559
DEU,2010,2.730237388
DEU,2011,2.805546283
DEU,2012,2.881655551
DEU,2013,2.835986547
DEU,2014,2.877840495
DEU,2015,2.933791744
DEU,2016,2.940389187
DEU,2017,3.047099499
DEU,2018,3.10787993
DEU,2019,3.167702938
DEU,2020,3.14426469
GRC,1981,0.14767742
GRC,1986,0.232272565
GRC,1988,0.25503558
GRC,1989,0.318875511
GRC,1991,0.310491042
GRC,1993,0.402722783
GRC,1995,0.417516618
GRC,1997,0.429098269
GRC,1999,0.568231096
GRC,2001,0.559483888
GRC,2003,0.546536615
GRC,2004,0.527303336
GRC,2005,0.578956184
GRC,2006,0.561182043
GRC,2007,0.57654971
GRC,2008,0.661832067
GRC,2009,0.625568914
GRC,2010,0.603469424
GRC,2011,0.684259788
GRC,2012,0.710051737
GRC,2013,0.81478446
GRC,2014,0.83997594
GRC,2015,0.966054802
GRC,2016,1.005294236
GRC,2017,1.152284368
GRC,2018,1.213710228
GRC,2019,1.275664266
GRC,2020,1.496100803
HUN,1991,1.029180971
HUN,1992,1.012923655
HUN,1993,0.9402925
HUN,1994,0.856194373
HUN,1995,0.7059217
HUN,1996,0.630265062
HUN,1997,0.698951617
HUN,1998,0.657106157
HUN,1999,0.671858998
HUN,2000,0.790957586
HUN,2001,0.913097859
HUN,2002,0.983547016
HUN,2003,0.918650759
HUN,2004,0.859733035
HUN,2005,0.91930705
HUN,2006,0.977103803
HUN,2007,0.954169103
HUN,2008,0.9772714
HUN,2009,1.12762947
HUN,2010,1.12817385
HUN,2011,1.178772798
HUN,2012,1.253806971
HUN,2013,1.383606394
HUN,2014,1.344169793
HUN,2015,1.339200881
HUN,2016,1.179629484
HUN,2017,1.316802777
HUN,2018,1.507550993
HUN,2019,1.477362272
HUN,2020,1.607655871
ISL,1981,0.634855
ISL,1983,0.672207026
ISL,1984,0.7128951
ISL,1985,0.722744787
ISL,1986,0.707725003
ISL,1987,0.74633347
ISL,1989,0.973484951
ISL,1990,0.958380651
ISL,1991,1.133138672
ISL,1992,1.303001604
ISL,1993,1.307734115
ISL,1994,1.353173852
ISL,1995,1.509836326
ISL,1997,1.798081524
ISL,1998,1.950994717
ISL,1999,2.235064946
ISL,2000,2.572011693
ISL,2001,2.839892751
ISL,2002,2.821204104
ISL,2003,2.705499611
ISL,2005,2.679692284
ISL,2006,2.852656806
ISL,2007,2.532935105
ISL,2008,2.464140144
ISL,2009,2.59713372
ISL,2011,2.403665247
ISL,2013,1.69237735
ISL,2014,1.936160269
ISL,2015,2.18138989
ISL,2016,2.109802684
ISL,2017,2.08411605
ISL,2018,2.000198517
ISL,2019,2.323304933
ISL,2020,2.471763117
IRL,1981,0.648873515
IRL,1982,0.64495108
IRL,1983,0.622617575
IRL,1984,0.677601102
IRL,1985,0.734366658
IRL,1986,0.796622106
IRL,1987,0.793014247
IRL,1988,0.763003308
IRL,1989,0.766314254
IRL,1990,0.793225397
IRL,1991,0.894633903
IRL,1992,0.993716279
IRL,1993,1.124715335
IRL,1994,1.217099373
IRL,1995,1.225375154
IRL,1996,1.271564247
IRL,1997,1.242707421
IRL,1998,1.208008755
IRL,1999,1.151410639
IRL,2000,1.08382587
IRL,2001,1.051936023
IRL,2002,1.055754241
IRL,2003,1.124357804
IRL,2004,1.17777843
IRL,2005,1.191966741
IRL,2006,1.198867101
IRL,2007,1.234083043
IRL,2008,1.391263617
IRL,2009,1.613709667
IRL,2010,1.595038231
IRL,2011,1.552800403
IRL,2012,1.557659935
IRL,2013,1.567984486
IRL,2014,1.522158112
IRL,2015,1.182914561
IRL,2016,1.175709965
IRL,2017,1.255401283
IRL,2018,1.169304165
IRL,2019,1.22588725
IRL,2020,1.232329892
ITA,1981,0.828268208
ITA,1982,0.85064041
ITA,1983,0.89567981
ITA,1984,0.951828493
ITA,1985,1.057729373
