"Abd-Alhamid, Fedaa"
"Greene, David"
"Greunke, Larry"
"Griffin, Tom"
"Grogorick, Steve"
"Groves, Leah A."
"Grubert, Jens"
"Grudzewski, Filip"
"Gruenbaum, PE"
"Gu, Jiaxi"
"Guna, Jože"
"Guna, Joze"
"Guo, Jichengsi"
"Guo, Jie"
"Guynup, S."
"Ha, Hyeyoung"
"Ha, Suk-Gyu"
"Hadipriono, Fabian C."
"Hadipriono, FC"
"Hagio, Shota"
"Hagita, Katsumi"
"Hahn, Jim F."
"Halabi, Osama"
"Halik, Lukasz"
"Han, Bo"
"Han, Insook"
"Han, Jungmin"
"Han, Ping-Hsuan"
"Hand, C"
"Hanna, G"
"Harjunen, Ville J."
"He, Zehao"
"Heineken, E"
"Hejtmanek, Lukas"
"Helsel, S"
"Hensen, Benedikt"
"Henshall, Gareth I."
"Heydrich, L"
"Hill, KJ"
"Hirota, Masakazu"
"Hladky, J."
"Hladky, Jozef"
"Ho, Derek Kwun-hong"
"Ho, Li-Hsing"
"Hodgson, E"
"Hodrien, Andrew"
"Hoffman, David M."
"Hoffman, HG"
"Hoffman, Hunter G."
"Hong, Joo Young"
"Hornsey, Rebecca L."
"Hou, Xueshi"
"Howard, Matt C."
"Howarth, PA"
"Howes, Sarah C."
"Hoyano, Kengo"
"Hu, B"
"Hu, Ping"
"Hu, Qiang"
"Hu, Zhiming"
"Hua, Hong"
Huai Yongjian
"Huang, Fei-Hui"
"Huang, Jiawei"
"Huang, SF"
"Huang, Weibo"
"Huang, Wen"
"Huang, WS"
"Huang, Xianwei"
"Huber, T."
"Huber, Tobias"
"Huffman, Derek J."
"Hui, Zhang"
"Huo, Yongkai"
"Ida, Hirofumi"
"Ijaz, Kiran"
"Inamura, Tetsunari"
"Irlitti, Andrew"
"Ito, Kenichiro"
"Ito, Masaru"
"Jallouli, Anas"
"Jang, Ho Jin"
"Jang, Ju Yeun"
"Jang, Woncheol"
"Jang, Y"
"Jang, Youngkyoon"
"Jankowski, J"
"Jankowski, Jaros?aw"
"Jansen, Wouter"
"Jarsaillon, Pierre J."
"Jeon, Bomyi"
"Jeon, Jin Yong"
"Jeong, Kisung"
"Jeong, Seongwook"
"Jeppsson, Mattis"
"Jerald, Jason"
"Ji, Haru Hyunkyung"
"Jiang, Haiyan"
"Jimenez Fernandez-Palacios, Belen"
"Jin, Haiyan"
"Jo, Hyun In"
"Johnson, Sarah"
"Johnston, Angus P. R."
"Jones, Ted"
"Joseph, A"
"Jost, Patrick"
"Jost, Tyler A."
"Jota, R"
"Juan, MC"
"Juliano, Julia M."
"Jun, Hyun-Kyu"
"Jung, Jinki"
"Jung, Su-min"
"Jung-Ho, Kim"
"Jurda, Mikolas"
"Jurkojc, Jacek"
"Kalarat, Kosin"
"Kang, HK"
"Kang, Hyunjeong"
"Kang, Jiyoung"
"Kang, YJ"
"Kang, Youn Joo"
"Kaplanyan, Anton S."
"Kardong-Edgren, Suzan"
"Kastanis, I"
"Kathner, I"
"Katsigiannis, Stamos"
"Kawara, T"
"Kazempourradi, Seyedmandi"
"Keiriz, Johnson J. G."
"Kellner, F"
"Kelly, Jonathan W."
"Kerin, Mairi"
"Kern, Angelika C."
"Kersten, Thomas Peter"
"Kesavadas, T."
"Kesztyues, T.I."
"Kesztyues, TI"
"Keum, Nack-Hyeon"
"Khan, Muhammad Sikandar Lal"
"Kilteni, K"
"Kim, Aram"
"Kim, Gyeonghoon"
"Kim, Hyunjeong"
"Kim, Hyun-Wook"
"Kim, J"
"Kim, J. Y."
"Kim, Jinmo"
"Kim, Jungho"
